507    1062
481     540
___________________________________________________________
Result of Year   2010   :
541     600
___________________________________________________________
Result of Year   2015   :
28018 28018
-100.0 ab initio , arabidopsis thaliana
-100.0 pattern recognition , host response
-100.0 pattern recognition , intensive care
-100.0 pattern recognition , liver disease
-100.0 pattern recognition , liver tissue
-100.0 pattern recognition , long-term monitoring
-100.0 pattern recognition , major depression
-100.0 pattern recognition , material properties
-100.0 pattern recognition , mean arterial pressure
-100.0 pattern recognition , model organisms
-100.0 pattern recognition , molecular classifier
-100.0 pattern recognition , molecular descriptors
-100.0 pattern recognition , molecular modeling
-100.0 pattern recognition , molecular signature
-100.0 pattern recognition , molecular signatures
-100.0 pattern recognition , motor activity
-100.0 pattern recognition , motor execution
-100.0 pattern recognition , multiple sclerosis
-100.0 pattern recognition , natural environment
-100.0 pattern recognition , neurodegenerative disease
-100.0 pattern recognition , neurodegenerative diseases
-100.0 pattern recognition , neuropsychological tests
-100.0 pattern recognition , orbitofrontal cortex
-100.0 pattern recognition , outcome prediction
-100.0 pattern recognition , pain assessment
-100.0 pattern recognition , patient stratification
-100.0 pattern recognition , patient survival
-100.0 pattern recognition , personal data
-100.0 pattern recognition , prognostic biomarker
-100.0 pattern recognition , prognostic biomarkers
-100.0 pattern recognition , protein domains
-100.0 pattern recognition , protein function prediction
-100.0 pattern recognition , protein profiles
-100.0 pattern recognition , protein sequence
-100.0 pattern recognition , protein sequences
-100.0 pattern recognition , protein structure
-100.0 pattern recognition , relevant variables
-100.0 pattern recognition , resting-state functional mri
-100.0 pattern recognition , seizure prediction
-100.0 pattern recognition , skin lesions
-100.0 pattern recognition , systolic blood pressure
-100.0 pattern recognition , the elderly
-100.0 pattern recognition , thyroid carcinoma
-100.0 pattern recognition , thyroid nodule
-100.0 pattern recognition , thyroid nodules
-100.0 pattern recognition , tissue microarray
-100.0 peptide identification , cell line
-100.0 peptide identification , secondary structure
-100.0 performance analysis , breast lesion
-100.0 performance analysis , breast mri
-100.0 performance analysis , clinical data
-100.0 performance analysis , clinical trial
-100.0 performance analysis , computed tomography
-100.0 performance analysis , control groups
-100.0 performance analysis , ct scans
-100.0 performance analysis , diagnostic accuracy
-100.0 performance analysis , diffusion-weighted imaging
-100.0 performance analysis , drugs
-100.0 performance analysis , early detection
-100.0 performance analysis , eye movement
-100.0 performance analysis , false positives
-100.0 performance analysis , genetic variation
-100.0 performance analysis , high-throughput data
-100.0 performance analysis , ischemic stroke
-100.0 performance analysis , lung cancer
-100.0 performance analysis , lung nodule
-100.0 performance analysis , lung nodules
-100.0 performance analysis , magnetic resonance
-100.0 performance analysis , pulmonary nodule
-100.0 performance analysis , real-world data
-100.0 performance analysis , white blood cells
-100.0 personalized medicine , biomarker panel
-100.0 personalized medicine , bladder cancer
-100.0 personalized medicine , cancer risk
-100.0 personalized medicine , chemical properties
-100.0 personalized medicine , common diseases
-100.0 personalized medicine , community composition
-100.0 personalized medicine , dna repair
-100.0 personalized medicine , drug repositioning
-100.0 personalized medicine , drug screening
-100.0 personalized medicine , expression signature
-100.0 personalized medicine , gene expression profiling
-100.0 personalized medicine , gene expression signature
-100.0 personalized medicine , genomic classifier
-100.0 personalized medicine , health care providers
-100.0 personalized medicine , mouse models
-100.0 personalized medicine , patient outcomes
-100.0 personalized medicine , prognostic prediction
-100.0 personalized medicine , reverse transcriptase
-100.0 personalized medicine , target gene
-100.0 physicochemical properties , anticancer drugs
-100.0 physicochemical properties , cleavage site
-100.0 physicochemical properties , epilepsy
-100.0 physicochemical properties , genome sequencing
-100.0 physicochemical properties , hepatocellular carcinoma
-100.0 physicochemical properties , heterogeneous data
-100.0 physicochemical properties , human leukocyte antigen
-100.0 physicochemical properties , liver disease
-100.0 physicochemical properties , liver transplantation
-100.0 physicochemical properties , lung cancer
-100.0 physicochemical properties , major histocompatibility complex
-100.0 physicochemical properties , microarray analysis
-100.0 physicochemical properties , molecular modeling
-100.0 physicochemical properties , non-small cell lung cancer
-100.0 physicochemical properties , physiological responses
-100.0 physicochemical properties , protein design
-100.0 physicochemical properties , protein domains
-100.0 physicochemical properties , protein function prediction
-100.0 physicochemical properties , protein functions
-100.0 physicochemical properties , public health
-100.0 physicochemical properties , risk factor
-100.0 physicochemical properties , signal peptides
-100.0 physicochemical properties , subcellular location
-100.0 physiological data , age groups
-100.0 physiological data , autonomic nervous system
-100.0 physiological data , body mass index
-100.0 physiological data , clinical research
-100.0 physiological data , frontal cortex
-100.0 physiological data , functional connectivity
-100.0 physiological data , health monitoring
-100.0 physiological data , health outcomes
-100.0 physiological data , magnetic resonance
-100.0 physiological data , neural activity
-100.0 physiological data , neurological diseases
-100.0 physiological data , older adults
-100.0 physiological data , outcome prediction
-100.0 physiological data , prefrontal cortex
-100.0 physiological data , preterm infants
-100.0 physiological data , risk prediction
-100.0 physiological data , schizophrenia
-100.0 physiological data , sleep apnea
-100.0 physiological data , vital signs
-100.0 position-specific scoring matrix , arabidopsis thaliana
-100.0 position-specific scoring matrix , caenorhabditis elegans
-100.0 position-specific scoring matrix , gene ontology
-100.0 position-specific scoring matrix , genome sequencing
-100.0 position-specific scoring matrix , protein data bank
-100.0 position-specific scoring matrix , secondary structure prediction
-100.0 position-specific scoring matrix , sequence motifs
-100.0 power spectral density , autonomic nervous system
-100.0 power spectral density , congestive heart failure
-100.0 power spectral density , heart failure
-100.0 power spectral density , heart rate variability
-100.0 power spectral density , heart sounds
-100.0 power spectral density , individual variability
-100.0 power spectral density , neurological disorder
-100.0 power spectral density , neurological disorders
-100.0 power spectrum , carotid artery
-100.0 power spectrum , central nervous system
-100.0 power spectrum , eyes closed
-100.0 power spectrum , eyes open
-100.0 power spectrum , fine needle aspiration
-100.0 power spectrum , hand movement
-100.0 power spectrum , local field potential
-100.0 power spectrum , psychiatric disorders
-100.0 power spectrum , quality of life
-100.0 power spectrum , resting state
-100.0 power spectrum , risk assessment
-100.0 power spectrum , seizure prediction
-100.0 power spectrum , thyroid nodule
-100.0 power spectrum , thyroid nodules
-100.0 power spectrum , ultrasound images
-100.0 precision-recall curve , breast lesion
-100.0 precision-recall curve , diagnostic information
-100.0 precision-recall curve , disease diagnosis
-100.0 precision-recall curve , drug discovery
-100.0 precision-recall curve , drug repositioning
-100.0 precision-recall curve , gleason grade
-100.0 precision-recall curve , peptide
-100.0 precision-recall curve , protein domains
-100.0 predictive analytics , chronic disease
-100.0 predictive analytics , clinical deterioration
-100.0 predictive analytics , cohort study
-100.0 predictive analytics , early detection
-100.0 predictive analytics , general practice
-100.0 predictive analytics , older people
-100.0 predictive modeling , adjuvant chemotherapy
-100.0 predictive modeling , alzheimers disease
-100.0 predictive modeling , cardiac surgery
-100.0 predictive modeling , cardiovascular risk
-100.0 predictive modeling , cell viability
-100.0 predictive modeling , chemical descriptors
-100.0 predictive modeling , gastrointestinal bleeding
-100.0 predictive modeling , gene selection
-100.0 predictive modeling , genetic variants
-100.0 predictive modeling , genetic variation
-100.0 predictive modeling , heart rate
-100.0 predictive modeling , histone modification
-100.0 predictive modeling , human body
-100.0 predictive modeling , human diseases
-100.0 predictive modeling , imbalanced data
-100.0 predictive modeling , molecular mechanism
-100.0 predictive modeling , neoadjuvant chemotherapy
-100.0 predictive modeling , oxidative stress
-100.0 predictive modeling , personalized treatment
-100.0 predictive modeling , respiratory rate
-100.0 predictive modeling , resting state
-100.0 predictive modeling , small rna
-100.0 predictive modeling , translational research
-100.0 predictive models , acute ischemic stroke
-100.0 predictive models , acute stroke
-100.0 predictive models , anxiety disorders
-100.0 predictive models , bone age
-100.0 predictive models , cardiac surgery
-100.0 predictive models , clinical deterioration
-100.0 predictive models , clinical staging
-100.0 predictive models , computational studies
-100.0 predictive models , congestive heart failure
-100.0 predictive models , gene selection
-100.0 predictive models , genetic diversity
-100.0 predictive models , genome annotation
-100.0 predictive models , human error
-100.0 predictive models , hydrogen bonds
-100.0 predictive models , imaging biomarkers
-100.0 predictive models , inflammatory bowel disease
-100.0 predictive models , ischemic stroke
-100.0 predictive models , luminal a
-100.0 predictive models , lymph nodes
-100.0 predictive models , mechanical ventilation
-100.0 predictive models , messenger rna
-100.0 predictive models , microarray analysis
-100.0 predictive models , molecular biomarkers
-100.0 predictive models , molecular classification
-100.0 predictive models , noisy data
-100.0 predictive models , ovarian carcinoma
-100.0 predictive models , pancreatic cancer
-100.0 predictive models , predictive information
-100.0 predictive models , progesterone receptor
-100.0 predictive models , prognostic biomarker
-100.0 predictive models , protein domains
-100.0 predictive models , protein-dna interactions
-100.0 predictive models , recurrence risk
-100.0 predictive models , respiratory rate
-100.0 predictive models , somatic mutation
-100.0 predictive models , somatic mutations
-100.0 predictive models , traditional chinese medicine
-100.0 predictive models , tumor microenvironment
-100.0 predictive models , ulcerative colitis
-100.0 predictive models , wastewater treatment
-100.0 predictive performance , acute ischemic stroke
-100.0 predictive performance , acute myeloid leukemia
-100.0 predictive performance , acute myocardial infarction
-100.0 predictive performance , acute stroke
-100.0 predictive performance , alzheimers disease
-100.0 predictive performance , amino acid composition
-100.0 predictive performance , binding site
-100.0 predictive performance , biological networks
-100.0 predictive performance , cancer recurrence
-100.0 predictive performance , cancer screening
-100.0 predictive performance , cause of death
-100.0 predictive performance , cervical cancer
-100.0 predictive performance , computerized tomography
-100.0 predictive performance , congestive heart failure
-100.0 predictive performance , differentially expressed genes
-100.0 predictive performance , disease classification
-100.0 predictive performance , disease management
-100.0 predictive performance , disease-free survival
-100.0 predictive performance , dynamic contrast-enhanced magnetic resonance imaging
-100.0 predictive performance , gene selection
-100.0 predictive performance , human proteome
-100.0 predictive performance , hydrogen bonds
-100.0 predictive performance , ischemic stroke
-100.0 predictive performance , luminal a
-100.0 predictive performance , lymph nodes
-100.0 predictive performance , magnetic field
-100.0 predictive performance , marker genes
-100.0 predictive performance , metabolic pathway
-100.0 predictive performance , molecular diagnostics
-100.0 predictive performance , peptide binding
-100.0 predictive performance , physiochemical properties
-100.0 predictive performance , progesterone receptor
-100.0 predictive performance , protein complex
-100.0 predictive performance , protein domains
-100.0 predictive performance , protein secondary structure
-100.0 predictive performance , pseudo amino acid composition
-100.0 predictive performance , quality control
-100.0 predictive performance , rapid detection
-100.0 predictive performance , relevant variables
-100.0 predictive performance , saccharomyces cerevisiae
-100.0 predictive performance , secondary structure prediction
-100.0 predictive performance , secreted proteins
-100.0 predictive performance , sequence motifs
-100.0 predictive performance , somatic mutation
-100.0 predictive performance , somatic mutations
-100.0 predictive performance , structural genomics
-100.0 predictive performance , structure prediction
-100.0 predictive performance , subcellular location
-100.0 predictive performance , subgroup analysis
-100.0 predictive performance , survival rate
-100.0 predictive performance , transcription factor
-100.0 predictive performance , translational research
-100.0 principle component analysis , alzheimer disease
-100.0 principle component analysis , amino acid composition
-100.0 principle component analysis , asthma control
-100.0 principle component analysis , biochemical recurrence
-100.0 principle component analysis , biological pathways
-100.0 principle component analysis , biomarker discovery
-100.0 principle component analysis , brain network
-100.0 principle component analysis , breast carcinoma
-100.0 principle component analysis , breast lesion
-100.0 principle component analysis , breast mri
-100.0 principle component analysis , bundle branch block
-100.0 principle component analysis , cancer biomarkers
-100.0 principle component analysis , cancer risk
-100.0 principle component analysis , cardiac function
-100.0 principle component analysis , cardiovascular risk
-100.0 principle component analysis , cause of death
-100.0 principle component analysis , cell viability
-100.0 principle component analysis , community composition
-100.0 principle component analysis , computational biology
-100.0 principle component analysis , diagnostic biomarkers
-100.0 principle component analysis , digital mammography
-100.0 principle component analysis , drug development
-100.0 principle component analysis , ejection fraction
-100.0 principle component analysis , elderly people
-100.0 principle component analysis , eye movement
-100.0 principle component analysis , gastrointestinal tract
-100.0 principle component analysis , gene expression analysis
-100.0 principle component analysis , gene expression profiling
-100.0 principle component analysis , gene selection
-100.0 principle component analysis , glioblastoma multiforme
-100.0 principle component analysis , hand movement
-100.0 principle component analysis , heart failure
-100.0 principle component analysis , heart sounds
-100.0 principle component analysis , heterogeneous data
-100.0 principle component analysis , high-throughput data
-100.0 principle component analysis , host response
-100.0 principle component analysis , infectious disease
-100.0 principle component analysis , inter-observer variability
-100.0 principle component analysis , interobserver variability
-100.0 principle component analysis , lesion classification
-100.0 principle component analysis , lesion segmentation
-100.0 principle component analysis , magnetic resonance images
-100.0 principle component analysis , malignant melanoma
-100.0 principle component analysis , medical treatment
-100.0 principle component analysis , model organisms
-100.0 principle component analysis , molecular subtype
-100.0 principle component analysis , molecular subtypes
-100.0 principle component analysis , multiple sclerosis
-100.0 principle component analysis , neurological diseases
-100.0 principle component analysis , orbitofrontal cortex
-100.0 principle component analysis , pathological diagnosis
-100.0 principle component analysis , patient mortality
-100.0 principle component analysis , patient safety
-100.0 principle component analysis , prognostic prediction
-100.0 principle component analysis , protein family
-100.0 principle component analysis , pseudo amino acid composition
-100.0 principle component analysis , radiation necrosis
-100.0 principle component analysis , regional homogeneity
-100.0 principle component analysis , resting-state functional mri
-100.0 principle component analysis , saccharomyces cerevisiae
-100.0 principle component analysis , sex differences
-100.0 principle component analysis , skin cancer
-100.0 principle component analysis , skin lesions
-100.0 principle component analysis , spectral power
-100.0 principle component analysis , subcellular location
-100.0 principle component analysis , voice disorders
-100.0 prior knowledge , amino acid composition
-100.0 prior knowledge , arabidopsis thaliana
-100.0 prior knowledge , auditory cortex
-100.0 prior knowledge , binding site
-100.0 prior knowledge , binding sites
-100.0 prior knowledge , biomedical research
-100.0 prior knowledge , breast cancer screening
-100.0 prior knowledge , breast cancer subtypes
-100.0 prior knowledge , breast lesion
-100.0 prior knowledge , breast mri
-100.0 prior knowledge , cancer classification
-100.0 prior knowledge , cancer screening
-100.0 prior knowledge , cardiovascular disease
-100.0 prior knowledge , cardiovascular diseases
-100.0 prior knowledge , cell cycle
-100.0 prior knowledge , cell morphology
-100.0 prior knowledge , cleavage site
-100.0 prior knowledge , clinical diagnosis
-100.0 prior knowledge , cognitive impairment
-100.0 prior knowledge , cognitively normal
-100.0 prior knowledge , comparative genomics
-100.0 prior knowledge , computational biology
-100.0 prior knowledge , congestive heart failure
-100.0 prior knowledge , contact prediction
-100.0 prior knowledge , diabetes
-100.0 prior knowledge , differential diagnosis
-100.0 prior knowledge , differentially expressed genes
-100.0 prior knowledge , dna sequence
-100.0 prior knowledge , early detection
-100.0 prior knowledge , electron microscopy
-100.0 prior knowledge , estrogen receptor
-100.0 prior knowledge , expression signature
-100.0 prior knowledge , facial expressions
-100.0 prior knowledge , gene expression signature
-100.0 prior knowledge , gene function
-100.0 prior knowledge , gene interactions
-100.0 prior knowledge , gene signature
-100.0 prior knowledge , genetic interactions
-100.0 prior knowledge , genetic variants
-100.0 prior knowledge , grey matter
-100.0 prior knowledge , high-throughput data
-100.0 prior knowledge , interobserver variability
-100.0 prior knowledge , membrane protein
-100.0 prior knowledge , metabolic pathway
-100.0 prior knowledge , mild cognitive impairment
-100.0 prior knowledge , molecular profiling
-100.0 prior knowledge , molecular subtype
-100.0 prior knowledge , molecular subtypes
-100.0 prior knowledge , noisy data
-100.0 prior knowledge , non-coding rna
-100.0 prior knowledge , optic disc
-100.0 prior knowledge , optic nerve head
-100.0 prior knowledge , post-translational modification
-100.0 prior knowledge , protein folding
-100.0 prior knowledge , protein function
-100.0 prior knowledge , protein sequences
-100.0 prior knowledge , protein structure
-100.0 prior knowledge , protein-protein interactions
-100.0 prior knowledge , schizophrenia
-100.0 prior knowledge , secreted proteins
-100.0 prior knowledge , signal peptides
-100.0 prior knowledge , skeletal muscle
-100.0 prior knowledge , stem cell
-100.0 prior knowledge , subtype classification
-100.0 prior knowledge , surgical planning
-100.0 prior knowledge , target gene
-100.0 prior knowledge , target prediction
-100.0 prior knowledge , vascular disease
-100.0 prior knowledge , visual field
-100.0 probabilistic model , cause of death
-100.0 probabilistic model , chemical descriptors
-100.0 probabilistic model , clinical trial
-100.0 probabilistic model , contact prediction
-100.0 probabilistic model , ct scan
-100.0 probabilistic model , ct scans
-100.0 probabilistic model , fatty acids
-100.0 probabilistic model , in vitro
-100.0 probabilistic model , in vivo
-100.0 probabilistic model , mechanical ventilation
-100.0 probabilistic model , microbial communities
-100.0 probabilistic model , molecular docking
-100.0 probabilistic model , optical coherence tomography
-100.0 probabilistic model , protein folding
-100.0 probabilistic model , public health
-100.0 probabilistic model , quality control
-100.0 probabilistic model , sequence motifs
-100.0 probabilistic neural network , amino acid composition
-100.0 probabilistic neural network , articular cartilage
-100.0 probabilistic neural network , bone marrow
-100.0 probabilistic neural network , brain cancer
-100.0 probabilistic neural network , breast cancer cells
-100.0 probabilistic neural network , cancer detection
-100.0 probabilistic neural network , capsule endoscopy
-100.0 probabilistic neural network , carotid artery
-100.0 probabilistic neural network , cause of death
-100.0 probabilistic neural network , chemical properties
-100.0 probabilistic neural network , clinical practice
-100.0 probabilistic neural network , clinical study
-100.0 probabilistic neural network , diabetes mellitus
-100.0 probabilistic neural network , diagnostic information
-100.0 probabilistic neural network , digital mammography
-100.0 probabilistic neural network , disease diagnosis
-100.0 probabilistic neural network , down syndrome
-100.0 probabilistic neural network , drug discovery
-100.0 probabilistic neural network , early diagnosis
-100.0 probabilistic neural network , epilepsy
-100.0 probabilistic neural network , epileptic seizure
-100.0 probabilistic neural network , expression profiles
-100.0 probabilistic neural network , fine needle aspiration
-100.0 probabilistic neural network , functional connectivity
-100.0 probabilistic neural network , g protein-coupled receptors
-100.0 probabilistic neural network , gastrointestinal tract
-100.0 probabilistic neural network , gene expression profile
-100.0 probabilistic neural network , hand movement
-100.0 probabilistic neural network , histopathological images
-100.0 probabilistic neural network , liver tissue
-100.0 probabilistic neural network , magnetic field
-100.0 probabilistic neural network , magnetic resonance images
-100.0 probabilistic neural network , major depressive disorder
-100.0 probabilistic neural network , metabolic pathway
-100.0 probabilistic neural network , microscopic images
-100.0 probabilistic neural network , molecular classification
-100.0 probabilistic neural network , neurodegenerative disorders
-100.0 probabilistic neural network , neurological disorder
-100.0 probabilistic neural network , oral cancer
-100.0 probabilistic neural network , patient survival
-100.0 probabilistic neural network , physiochemical properties
-100.0 probabilistic neural network , pseudo amino acid composition
-100.0 probabilistic neural network , public health
-100.0 probabilistic neural network , radiation therapy
-100.0 probabilistic neural network , respiratory sounds
-100.0 probabilistic neural network , signaling pathways
-100.0 probabilistic neural network , subcellular location
-100.0 probabilistic neural network , thyroid nodule
-100.0 probabilistic neural network , toxicity
-100.0 probability distribution , age-related macular degeneration
-100.0 probability distribution , brain function
-100.0 probability distribution , breast cancer
-100.0 probability distribution , cancer detection
-100.0 probability distribution , chemical descriptors
-100.0 probability distribution , clinical imaging
-100.0 probability distribution , complex traits
-100.0 probability distribution , diagnosis and prognosis
-100.0 probability distribution , false positives
-100.0 probability distribution , hand movement
-100.0 probability distribution , ion channel
-100.0 probability distribution , medical image
-100.0 probability distribution , medical imaging
-100.0 probability distribution , molecular mechanism
-100.0 probability distribution , subcellular location
-100.0 probability distribution , tumor
-100.0 probability estimates , cancer diagnosis
-100.0 probability estimates , diagnostic accuracy
-100.0 probability estimates , ejection fraction
-100.0 probability estimates , expression signature
-100.0 probability estimates , fault diagnosis
-100.0 probability estimates , gene expression
-100.0 probability estimates , gene expression profiling
-100.0 probability estimates , gene expression signature
-100.0 probability estimates , magnetic resonance
-100.0 probability estimates , magnetic resonance images
-100.0 probability estimates , medical imaging
-100.0 probability estimates , molecular classification
-100.0 probability estimates , molecular imaging
-100.0 probability estimates , prostate
-100.0 probability estimates , prostate cancer
-100.0 probability estimates , relevant variables
-100.0 probability estimates , suicide notes
-100.0 probability estimates , tumor
-100.0 probability estimates , visual assessment
-100.0 prognostic model , acute lymphoblastic leukemia
-100.0 prognostic model , age groups
-100.0 prognostic model , apparent diffusion coefficient
-100.0 prognostic model , biological pathways
-100.0 prognostic model , biological relevance
-100.0 prognostic model , breast cancer diagnosis
-100.0 prognostic model , breast cancer subtypes
-100.0 prognostic model , breast lesion
-100.0 prognostic model , breast mass
-100.0 prognostic model , cancer diagnosis
-100.0 prognostic model , cancer prognosis
-100.0 prognostic model , cell types
-100.0 prognostic model , clinical staging
-100.0 prognostic model , colon cancer
-100.0 prognostic model , diagnostic classification
-100.0 prognostic model , diagnostic performance
-100.0 prognostic model , diagnostic test
-100.0 prognostic model , diffusion-weighted imaging
-100.0 prognostic model , dynamic contrast-enhanced magnetic resonance imaging
-100.0 prognostic model , expression signature
-100.0 prognostic model , gene expression profiling
-100.0 prognostic model , gene expression signature
-100.0 prognostic model , high risk
-100.0 prognostic model , intracranial pressure
-100.0 prognostic model , mean arterial pressure
-100.0 prognostic model , molecular biomarkers
-100.0 prognostic model , molecular classification
-100.0 prognostic model , molecular profiling
-100.0 prognostic model , molecular subtype
-100.0 prognostic model , molecular subtypes
-100.0 prognostic model , recurrence risk
-100.0 prognostic model , reverse transcriptase
-100.0 prognostic models , biological pathways
-100.0 prognostic models , biological relevance
-100.0 prognostic models , breast cancer subtypes
-100.0 prognostic models , cancer prognosis
-100.0 prognostic models , cancer progression
-100.0 prognostic models , clinical staging
-100.0 prognostic models , colon cancer
-100.0 prognostic models , diagnostic classification
-100.0 prognostic models , diagnostic test
-100.0 prognostic models , estrogen receptor
-100.0 prognostic models , expression signature
-100.0 prognostic models , gene expression profiling
-100.0 prognostic models , gene expression signature
-100.0 prognostic models , molecular biomarkers
-100.0 prognostic models , molecular classification
-100.0 prognostic models , molecular profiling
-100.0 prognostic models , molecular subtype
-100.0 prognostic models , molecular subtypes
-100.0 prognostic models , signaling pathways
-100.0 prognostic models , survival prediction
-100.0 propensity score , peptide
-100.0 propensity score , protein
-100.0 qsar models , diabetes
-100.0 qsar models , diabetic retinopathy
-100.0 qsar models , drug-drug interaction
-100.0 qsar models , drug-drug interactions
-100.0 qsar models , high risk
-100.0 qsar models , negative effects
-100.0 qsar models , neurological disorder
-100.0 qsar models , neurological disorders
-100.0 qsar models , peptide
-100.0 qsar models , protein complex
-100.0 qsar models , protein interaction
-100.0 qsar models , protein-protein interaction
-100.0 qsar models , public health
-100.0 qsar models , relevant variables
-100.0 qsar models , target protein
-100.0 quadratic discriminant analysis , brain diseases
-100.0 quadratic discriminant analysis , breast lesion
-100.0 quadratic discriminant analysis , clinical trial
-100.0 quadratic discriminant analysis , clinical utility
-100.0 quadratic discriminant analysis , cognitive impairment
-100.0 quadratic discriminant analysis , ct colonography
-100.0 quadratic discriminant analysis , differential expression
-100.0 quadratic discriminant analysis , dna sequence
-100.0 quadratic discriminant analysis , emotional state
-100.0 quadratic discriminant analysis , gene expression
-100.0 quadratic discriminant analysis , gene interactions
-100.0 quadratic discriminant analysis , healthcare system
-100.0 quadratic discriminant analysis , human body
-100.0 quadratic discriminant analysis , lung nodule
-100.0 quadratic discriminant analysis , lung nodules
-100.0 quadratic discriminant analysis , medical image
-100.0 quadratic discriminant analysis , mild cognitive impairment
-100.0 quadratic discriminant analysis , neural activity
-100.0 quadratic discriminant analysis , neuronal activity
-100.0 quadratic discriminant analysis , neuropsychological tests
-100.0 quadratic discriminant analysis , obstructive sleep apnea
-100.0 quadratic discriminant analysis , physiological signals
-100.0 quadratic discriminant analysis , rheumatoid arthritis
-100.0 quadratic discriminant analysis , saccharomyces cerevisiae
-100.0 quadratic discriminant analysis , sleep apnea
-100.0 quadratic discriminant analysis , sleep stage
-100.0 quadratic discriminant analysis , ultrasound images
-100.0 quantitative analysis , auditory cortex
-100.0 quantitative analysis , biomedical research
-100.0 quantitative analysis , bone density
-100.0 quantitative analysis , cell line
-100.0 quantitative analysis , cell lines
-100.0 quantitative analysis , chest ct
-100.0 quantitative analysis , chronic obstructive pulmonary disease
-100.0 quantitative analysis , ct scan
-100.0 quantitative analysis , ct scans
-100.0 quantitative analysis , diagnostic imaging
-100.0 quantitative analysis , drug discovery
-100.0 quantitative analysis , functional imaging
-100.0 quantitative analysis , gene regulation
-100.0 quantitative analysis , hemodynamic response
-100.0 quantitative analysis , lung cancer
-100.0 quantitative analysis , lung cancer screening
-100.0 quantitative analysis , lung function
-100.0 quantitative analysis , molecular test
-100.0 quantitative analysis , movement disorders
-100.0 quantitative analysis , neurodegenerative diseases
-100.0 quantitative analysis , physical activity
-100.0 quantitative analysis , raman spectra
-100.0 quantitative analysis , signaling pathways
-100.0 quantitative evaluation , breast mass
-100.0 quantitative evaluation , clinical decision
-100.0 quantitative evaluation , computer-assisted diagnosis
-100.0 quantitative evaluation , diagnostic performance
-100.0 quantitative evaluation , diagnostic test
-100.0 quantitative evaluation , dna sequence
-100.0 quantitative evaluation , fluorescence microscopy
-100.0 quantitative evaluation , heterogeneous data
-100.0 quantitative evaluation , in vivo
-100.0 quantitative evaluation , primary care
-100.0 quantitative evaluation , prostate cancer
-100.0 quantitative evaluation , radical prostatectomy
-100.0 quantitative evaluation , skin cancer
-100.0 quantitative evaluation , skin lesions
-100.0 quantitative evaluation , surgical planning
-100.0 quantitative evaluation , t cell
-100.0 quantitative evaluation , t cells
-100.0 quantitative imaging , alkaline phosphatase
-100.0 quantitative imaging , bone marrow
-100.0 quantitative imaging , cell morphology
-100.0 quantitative imaging , progression-free survival
-100.0 quantitative imaging , radical prostatectomy
-100.0 quantitative imaging , regenerative medicine
-100.0 quantitative imaging , stem cell
-100.0 quantitative structure-activity relationship , animal models
-100.0 quantitative structure-activity relationship , antimicrobial peptides
-100.0 quantitative structure-activity relationship , cancer biomarkers
-100.0 quantitative structure-activity relationship , diabetes
-100.0 quantitative structure-activity relationship , ethical issues
-100.0 quantitative structure-activity relationship , imbalanced data
-100.0 quantitative structure-activity relationship , kinase inhibitors
-100.0 quantitative structure-activity relationship , metabolic pathway
-100.0 quantitative structure-activity relationship , mode of action
-100.0 quantitative structure-activity relationship , molecular mechanism
-100.0 quantitative structure-activity relationship , neurological disorder
-100.0 quantitative structure-activity relationship , neurological disorders
-100.0 quantitative structure-activity relationship , organic molecules
-100.0 quantitative structure-activity relationship , peptide binding
-100.0 quantitative structure-activity relationship , protein complex
-100.0 quantitative structure-activity relationship , protein data bank
-100.0 quantitative structure-activity relationship , relevant variables
-100.0 quantitative structure-activity relationship , reverse transcriptase
-100.0 quantitative structure-activity relationship , structural alerts
-100.0 quantitative structure-activity relationship , target protein
-100.0 quantitative structure-activity relationship , traditional chinese medicine
-100.0 quantitative structure-activity relationship , tumor
-100.0 radial basis function , activities of daily living
-100.0 radial basis function , air quality
-100.0 radial basis function , amino acid composition
-100.0 radial basis function , attention deficit hyperactivity disorder
-100.0 radial basis function , background noise
-100.0 radial basis function , binding affinity
-100.0 radial basis function , bone mineral density
-100.0 radial basis function , brain tumor
-100.0 radial basis function , breast cancer diagnosis
-100.0 radial basis function , breast imaging
-100.0 radial basis function , cancer research
-100.0 radial basis function , cancer treatment
-100.0 radial basis function , cardiovascular disease
-100.0 radial basis function , cardiovascular diseases
-100.0 radial basis function , cause of death
-100.0 radial basis function , cell cycle
-100.0 radial basis function , cell line
-100.0 radial basis function , cell lines
-100.0 radial basis function , cell morphology
-100.0 radial basis function , chemical descriptors
-100.0 radial basis function , chemical properties
-100.0 radial basis function , computer-assisted diagnosis
-100.0 radial basis function , cross-sectional study
-100.0 radial basis function , drug target
-100.0 radial basis function , drug-drug interaction
-100.0 radial basis function , drug-drug interactions
-100.0 radial basis function , electrical stimulation
-100.0 radial basis function , estrogen receptor
-100.0 radial basis function , eyes closed
-100.0 radial basis function , false positives
-100.0 radial basis function , gastric cancer
-100.0 radial basis function , helicobacter pylori
-100.0 radial basis function , ion channel
-100.0 radial basis function , liver cancer
-100.0 radial basis function , liver disease
-100.0 radial basis function , liver transplantation
-100.0 radial basis function , lower extremity
-100.0 radial basis function , lung disease
-100.0 radial basis function , macular edema
-100.0 radial basis function , magnetic field
-100.0 radial basis function , major histocompatibility complex
-100.0 radial basis function , mechanism of action
-100.0 radial basis function , messenger rna
-100.0 radial basis function , microscopic images
